Departamento,medicos,presupuesto,ingreso,infraestructura,anio
Amazonas,1721.8619246861924,96.2,995.3986729220728,516,2016
Áncash,808.2482065997131,83.3,1094.8518264042607,553,2016
Apurímac,928.6461538461539,98.3,889.3664917581776,466,2016
Arequipa,254.96694214876032,99.9,1512.244692665504,857,2016
Ayacucho,1591.6314496314496,99.6,879.5094755231644,415,2016
Cajamarca,1781.7801507537688,99.2,806.3127685847212,1055,2016
Callao,487.523288973384,99.8,1561.123047154805,645,2016
Cusco,572.2597228430934,94.2,1144.6002765266924,765,2016
Huancavelica,1366.6148409893992,97.8,733.7029945572981,451,2016
Huánuco,1083.9308357348702,98.6,901.4938060561033,356,2016
Ica,442.1575203252033,99.2,1297.3327915431491,321,2016
Junín,691.0127118644068,98.8,1199.3187571548306,903,2016
La Libertad,380.1269971323228,99.4,1203.7795914738592,602,2016
Lambayeque,497.695211038961,99.6,1117.1223410745474,595,2016
Lima,251.25488319147286,86.9,4991.40406897537,6251,2016
Loreto,1006.451244813278,95.6,1062.2746006450625,520,2016
Madre de Dios,823.4475138121547,71.3,1632.93129630259,153,2016
Moquegua,625.4634146341464,99.9,1818.4134717667976,99,2016
Pasco,1253.0,97.0,1000.7935535785051,284,2016
Piura,981.3090062111801,99.5,952.3185145813582,869,2016
Puno,955.6074476338247,98.6,856.7517114686244,593,2016
San Martín,1751.4947368421053,99.4,1079.2059168794585,530,2016
Tacna,321.55238095238093,99.9,1336.646572228441,334,2016
Tumbes,1119.4077669902913,99.1,1255.4719810324784,74,2016
Ucayali,1259.4677804295943,96.3,1182.5920897402452,258,2016
