Departamento,medicos,presupuesto,ingreso,infraestructura
Amazonas,1700.4223107569721,96.4,992.8954129550676,589
Áncash,723.8736971183323,63.3,1057.212206018299,571
Apurímac,895.5010395010395,97.1,1004.4808676227744,510
Arequipa,250.785128119243,96.7,1530.3158178503954,966
Ayacucho,1372.100616016427,97.7,1095.4251137554697,493
Cajamarca,1519.0292580982236,93.8,850.1786484938133,1186
Callao,532.4476908576814,96.2,1355.628939723721,785
Cusco,473.3432159051273,35.2,963.1158015233185,940
Huancavelica,1197.7606557377048,99.4,669.030010868188,466
Huánuco,886.0920745920746,98.2,892.4124994204074,395
Ica,441.05924920850293,59.6,1478.2176810135295,354
Junín,611.34575662326,95.0,1082.71084813752,960
La Libertad,320.17320209557073,68.1,1167.1714813269691,663
Lambayeque,413.2361286254729,42.4,1159.598219764924,605
Lima,234.3188782821491,89.3,4482.59976986563,8102
Loreto,976.7671102661596,96.3,1180.3518109621482,651
Madre de Dios,914.7947368421053,92.1,1399.8720037418477,172
Moquegua,546.0056657223796,88.2,1693.7170840144645,127
Pasco,1018.3670411985019,96.4,834.8410766928608,312
Piura,813.3256552819698,49.5,992.5504493266536,1084
Puno,718.0957076566125,92.8,809.7833828051358,689
San Martín,1494.4318936877075,96.3,983.280556757141,562
Tacna,309.661101836394,88.0,1259.9367954905597,440
Tumbes,1108.0220264317181,83.3,1142.596276601176,89
Ucayali,978.5880398671096,88.2,1203.12747619071,265
